index,species,CRC Japan PRJDB4176,adenoma Japan PRJDB4176,UC Spain PRJEB2054,CD Spain PRJEB2054,CRC USA PRJEB12449,CD China PRJEB15371,GDM China PRJEB18755,PD Germany PRJEB17784,ACVD China PRJEB21528,CRC Germany PRJEB27928,Obesity Denmark PRJEB4336,CRC France PRJEB6070,adenoma France PRJEB6070,LC China PRJEB6337,RA China PRJEB6997,CRC Austria PRJEB7774,adenoma Austria PRJEB7774,CRC China PRJEB10878,T1D Luxembourg PRJNA289586,T2D Luxembourg PRJNA289586,VKH China PRJNA356225,T1D Finland SRP006764,ME/CFS USA PRJNA379741,T2D China PRJNA422434,BD China PRJNA431482,adenoma Italy PRJNA447983,CRC Italy PRJNA447983,atherosclerosis Sweden PRJNA177201
msp_0001,Blastocystis sp. subtype 3,0,0,0,0,0,0,-0.000110363972749594,0.00018132018767612,-1.35756103895952E-05,0.000441831139746337,-0.00038898643779604,0,-0.000106454105278676,9.05747480667553E-05,7.29237298760015E-05,0.000228774774162309,-0.00016309945831682,-0.000298968695504242,-0.000347437760648362,0,0,0,0,-6.35810801496074E-05,0,0.00013234642103385,0.000148904538020832,0
msp_0002,Blastocystis sp. subtype 1,-1.37081339387297E-05,0,0,0,0,0,0,-8.62315650451243E-05,0,0,-0.000124617586812948,0,0,0,0,0,0,0,0.000165370697682021,0,0,0,0,-7.46234553482174E-06,0,0,0,0
msp_0003,Bacteroides cellulosilyticus,0.00415797904837828,-0.00028946796290641,-0.00472850496095668,-0.00106187084520418,0.000776738940981971,0.000237249919514252,-0.001532787932452,0.00102173711710592,-0.00124021494456864,0.000459684309007152,-0.000404355166886995,0.000336835041640835,0.00152280304901073,-0.00205190300662134,0.000441317985564964,-0.000342430529870207,0.000738814865470696,-0.00171977782342693,-0.00294681542739806,0.000853625813636134,-0.000993421059801481,-0.000489583333333333,0.000975358519343207,-0.00133066002379861,-0.00183201620591718,0.00237901946412648,-0.000806504644939366,-0.00797608946608947
msp_0004,Blastocystis sp. subtype 2,0,0,0,0,0,0,0,0,0,0,-7.45890378450569E-05,0,6.30406225202765E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0005,Escherichia coli,0.00170683739214042,0.000398914771274937,0.000663523394558947,0.00222720797720798,0.00678370661578368,0.00178720042429628,0.00254474763577948,-0.00045567754263809,0.00826346313462055,0.000254336112400629,-0.000595320172131809,-0.000980386112803068,0.000903489845702357,-0.000574782416615787,-0.000858165779194736,0.00650137592847412,-0.00143433748112037,-0.00105058801504272,0.00625261749068928,0.0021272287688031,-0.00110649293264758,0.00425833333333333,0.000980171337109183,-0.00151595319741651,-0.000492413645366319,0.0035764172016383,0.00893909157239953,0.00549587708587709
msp_0006,Blastocystis sp. subtype 4,0,0,0,0,-0.000107411125347049,0,0,0,0,0,-0.00115199770255663,-0.00139830127440796,0,0,0,0,0,-3.05661767857258E-05,0.000254067189272697,0,0,0,5.35667759044075E-05,1.66733187890632E-05,0,0.000290427015398302,-0.000137587841892721,0.000425908289241622
msp_0007,Bacteroides ovatus,0.00386384580472565,0.000949311247094987,0.000801419144322854,0.000461959336959337,-0.00207644978597566,-0.000472859942362409,0.000952417055422883,-0.00154279999311833,-0.000937298140717907,-0.00174642488097229,0.00101210883297728,-0.00110012581132142,-0.00376055769847169,-0.00190320242516027,-0.000669942155576755,0.00157973959068558,0.00110621592764027,-0.00300138449807423,0.00090451067318007,0,0.000990757456653995,-0.00322222222222222,0.00245589700556875,0.00125251180164194,0.0012399320551134,-0.00133974538629738,-0.00375154628247441,-0.000433777777777778
msp_0008,Bacteroides intestinalis,-0.000537155675622048,0.00056130461042695,-0.0002919439645322,0,-0.000677864802923303,-0.00183160135577368,0.000549496200988003,0.000213291864699732,-0.00112228198151128,0.000735321664982046,-0.00220330269679406,-0.00016026950020176,-0.000183071922056421,-0.00180666354401387,-0.00106745705542931,0.000141935043019764,0.000271672077080012,-0.00173648144827724,0.000140446026719593,0.000419446387493591,0.000299971487905832,0,0.00115386031443212,0.00128818976689926,0.00359086939270416,-0.000515895793819694,-0.00223366091846369,-0.000769434269434269
msp_0009,Clostridium bolteae,0.00228567218871679,0.000414979352355789,-0.000443561510952815,0.00155235042735043,0.00289104172758876,0.00161498165516465,-0.00370957874310748,0.000357129119163017,0.00277790191904835,0.000411885863571635,0.00049723677849902,0.00149137840802079,-0.000564411102674157,0.000909178473607822,0.00137925237783664,0.000254056273442825,0.00195103862778861,0.001132983847798,0.000319191566313073,-0.000187220160968871,0.00270556095738472,0.0009375,0.000868185611390996,0.00334933479572307,0.000713220804771894,0.000668122750373661,-0.000953415230006086,0.000167936507936508
msp_0010,Bacteroides fragilis 1,0.00132260962418231,0.00163966071621067,0.000299160230893977,0,0.000862352299221317,0.000386236367698848,-0.000888622497763596,-0.00065654517572341,0.00264406294379466,0.00319756378873003,-0.000579575771837871,0.000599108263251965,-0.000776680537785303,-0.000591107568803097,0.000938181017287178,0.00185811502184846,-0.000718417476874617,0.00212738348230358,0.000593706834670422,-0.000188011695906433,-0.000701863216438513,0.00422638888888889,0.00303139196626703,0.00195704975648464,0.00206045409858576,0.00184426980068441,0.00278895048964303,-0.00032962962962963
msp_0011,Bacteroides thetaiotaomicron,0.00206372372631655,-0.000375233179605043,0.002093688464737,0.00166598679098679,-0.00164668719614933,0.00066937328743435,-0.00108158060733883,0.000749672837020132,-0.000811949620346195,0.00180157234516384,0.000652202193110126,0.00239095042659101,0.000573813462082867,-0.000882820811269777,-0.00060625662447333,0.000620225980659794,-0.00138142504213564,-0.00112759739673411,0.00100376468181639,0.00171923478493852,0.00125224400888332,0.00178333333333333,-0.00127736220516373,-0.00123424460560906,0.00355200253348311,0.00284762525944979,0.00117749152196531,0.00118123179289846
msp_0012,Parabacteroides distasonis,0.00203903309278775,0.00268532304264559,-0.00174072890128258,0.000749151774151774,0.0031402892544329,0.000949758454121338,0.00341239378005586,0.000861718155999475,-0.00133724359775992,0.00048703371603346,0.00100330228242637,-0.000742464843894543,-0.00146672946935636,-0.00131219132760191,0.00704848191093098,0.00239371973837311,-0.00284547571973694,0.000539838790477779,0.00228698461951674,0.00396512668736674,0.00113965317466043,-0.000604166666666667,-0.0110651856809574,0.00417866110412751,0.00120050041529246,-0.00270746080121429,0.000880210634130821,-0.000896524216524217
msp_0013,Ruminococcus bicirculans,-0.00100889699720379,-0.00046370787390317,-0.00333158653643565,-0.00435607448107448,0.00207920673289757,-0.0036957821598956,-0.000461509170875821,0.0030879582995289,-0.00141490114482891,-0.00345351042751022,0.000394438950605242,-0.000323921575926357,-0.000283469740295851,0.000484906183958133,-0.000582737134492274,0.000487325139033676,-0.000785995529937456,-0.0063578221406602,-0.00194257355113545,-0.000327737272474114,-0.00216966983900752,0.00388125,-0.000589772520779933,0.00117623672810481,-0.00164619304569112,-0.000927063422404101,-0.000939981623536818,-0.00248641045374379
