species,species,0
Acetobacter sp. 46_36 & CAG:267,Acetobacter sp. 46_36 & CAG:267,1.0
Acetobacter sp. CAG:977,Acetobacter sp. CAG:977,1.0
Acholeplasma sp. CAG:878,Acholeplasma sp. CAG:878,1.0
Acidaminococcus fermentans,Acidaminococcus fermentans,1.0
Acidaminococcus intestini,Acidaminococcus intestini,1.0
Acidaminococcus massiliensis,Acidaminococcus massiliensis,1.0
Acidaminococcus sp. CAG:542,Acidaminococcus sp. CAG:542,1.0
Acidaminococcus sp. CAG:917,Acidaminococcus sp. CAG:917,1.0
Acidiphilium sp. CAG:727,Acidiphilium sp. CAG:727,1.0
Acinetobacter sp. N54.MGS-139 / Proteobacteria bacterium CAG:139,Acinetobacter sp. N54.MGS-139 / Proteobacteria bacterium CAG:139,1.0
Actinomyces oris,Actinomyces oris,1.0
Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,1.0
Aeromonas caviae,Aeromonas caviae,1.0
Aeromonas veronii,Aeromonas veronii,1.0
Agathobaculum desmolans,Agathobaculum desmolans,1.0
Aggregatibacter segnis,Aggregatibacter segnis,1.0
Akkermansia muciniphila,Akkermansia muciniphila,1.0
Akkermansia sp. CAG:344,Akkermansia sp. CAG:344,1.0
Akkermansia sp. KLE1605,Akkermansia sp. KLE1605,1.0
Alistipes finegoldii,Alistipes finegoldii,1.0
Alistipes ihumii,Alistipes ihumii,1.0
Alistipes indistinctus,Alistipes indistinctus,1.0
Alistipes inops == Tidjanibacter massiliensis,Alistipes inops == Tidjanibacter massiliensis,1.0
Alistipes obesi,Alistipes obesi,1.0
Alistipes onderdonkii,Alistipes onderdonkii,1.0
Alistipes putredinis,Alistipes putredinis,1.0
Alistipes putredinis,Alistipes shahii,0.5695822355439961
Alistipes putredinis,Odoribacter splanchnicus,0.5496956346486869
Alistipes senegalensis,Alistipes senegalensis,1.0
Alistipes shahii,Alistipes putredinis,0.5695822355439961
Alistipes shahii,Alistipes shahii,1.0
Alistipes shahii,Odoribacter splanchnicus,0.5053031640959793
Alistipes sp. An31A,Alistipes sp. An31A,1.0
Alistipes sp. An54 & An116,Alistipes sp. An54 & An116,1.0
Alistipes sp. CAG:268,Alistipes sp. CAG:268,1.0
Alistipes sp. CAG:435,Alistipes sp. CAG:435,1.0
Alistipes sp. CAG:435,Bacteroides sp. CAG:530,0.5378751071303198
Alistipes sp. CAG:435,Bacteroides sp. CAG:709,0.5153546046907583
Alistipes sp. CAG:435,Bacteroides sp. CAG:770,0.5477933100838549
Alistipes sp. CAG:435,Catenibacterium mitsuokai,0.5770079318898989
Alistipes sp. CAG:435,Catenibacterium sp. CAG:290,0.5648173549839937
Alistipes sp. CAG:435,Clostridium sp. CAG:349,0.5376591957356965
Alistipes sp. CAG:435,Dialister sp. CAG:486,0.6445702708564184
Alistipes sp. CAG:435,Firmicutes bacterium CAG:791,0.5272137740005305
Alistipes sp. CAG:435,Prevotella copri 2,0.5540366030206894
Alistipes sp. CAG:435,Prevotella sp. 885,0.6492679017750257
Alistipes sp. CAG:435,Prevotella sp. CAG:1092,0.6070712110491684
Alistipes sp. CAG:435,Prevotella sp. CAG:386,0.5799125374916307
Alistipes sp. CAG:435,Prevotella sp. CAG:520,0.5831693842424939
Alistipes sp. CAG:435,Prevotella sp. CAG:604,0.6278894999606198
Alistipes sp. CAG:435,Prevotella sp. CAG:732,0.5452443253066992
Alistipes sp. CAG:435,Prevotella sp. P4-51 & PA-67 & P5-64 & P5-108 & CAG:474,0.5497059747248773
Alistipes sp. CAG:435,Prevotella sp. UBA641,0.5188212402928369
Alistipes sp. CAG:435,Prevotellamassilia timonensis,0.5592950552328763
Alistipes sp. CAG:435,Ruminococcus sp. CAG:382,0.5183204830448364
Alistipes sp. CAG:435,Succinatimonas sp. CAG:777,0.6582646143024338
Alistipes sp. CAG:435,unclassified Burkholderiales,0.5341218270245602
