msp		CD:CHN:PRJEB15371	CD:ESP:PRJEB2054	UC:ESP:PRJEB2054	acute diarrhea:USA:PRJNA321753	CRC:AUT:PRJEB7774	CRC:CHN:PRJEB10878	CRC:FRA:PRJEB6070	CRC:GER:PRJEB27928	CRC:GER:PRJEB6070	CRC:ITA:PRJNA447983	CRC:JPN:PRJDB4176	CRC:USA:PRJEB12449	NSCLC:FRA:PRJEB22863	RCC:FRA:PRJEB22863	melanoma:USA:PRJNA397906	ACVD:CHN:PRJEB21528	atherosclerosis:SWE:PRJNA177201	ob:DNK:PRJEB4336	GDM:CHN:PRJEB18755	IGT:SWE:PRJEB1786	T1D:LUX:PRJNA289586	T2D:CHN:PRJNA422434	T2D:ESP:PRJNA361402	T2D:SWE:PRJEB1786	BD:CHN:PRJNA431482	RA:CHN:PRJEB6997	SPA:CHN:PRJNA375935	VKH:CHN:PRJNA356225	LC:CHN:PRJEB6337	LC:GBR:PRJEB38481	NAFLD:ESP:PRJEB14215	NAFLD:ITA:PRJEB14215	NAFLD:USA:PRJNA373901	ME/CFS:USA:PRJNA379741	PD:GER:PRJEB17784	adenoma:ITA:PRJNA447983	adenoma:JPN:PRJDB4176	advanced adenoma:AUT:PRJEB7774	large adenoma:FRA:PRJEB6070	small adenoma:FRA:PRJEB6070	Enriched
msp_0001	Blastocystis sp. subtype 3	0.0	0.0	0.0	0.0	0.12815764575992938	0.0	0.0	0.1345539856978438	0.0	0.0	0.0	0.0	0.06014133969371467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10220685299508431	0.0	0.0	0.0	0.046235579774813865	0.0	0.0	0.012124441814376781	0.0	0.0	0.0	0.0	0.06353541996636476	0.0	0.17559438030390642	0.0	0.0	0.0	0.023931320590235287	0.047006638770146644	Enriched
msp_0002	Blastocystis sp. subtype 1	0.0	0.0	0.0	0.0	0.021486855106349786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015754627712311797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007646584028575613	0.0	0.013788682603483966	0.0	0.0	0.02847242354531792	0.05845444937899533	0.0	0.0	0.0	0.01991464330847659	0.0	0.0	Enriched
msp_0003	Bacteroides cellulosilyticus	0.0	0.0	0.0	0.0	0.1340152219205865	0.0302613413476726	0.05289920468716178	0.0	0.06474666685516772	0.009842666200674158	0.1242398532218943	0.12764324866749724	0.04912082050902962	0.11723737493593314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034192356853538386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06277169515092322	0.18791953509119755	0.0	0.06396999763140901	0.1089692888387691	0.1544359199953303	0.06425492627731257	Enriched
msp_0004	Blastocystis sp. subtype 2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07722385120070911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0933163845031549	0.0	0.0	0.0	0.052243631818468014	0.0	0.0	0.0	0.0	0.04188947999516999	0.0	0.0	0.0	0.0	0.0	0.0	0.08661678704807499	Enriched
msp_0005	Escherichia coli	0.2364301544328782	0.4518480570575323	0.3529337396200945	0.15602288772322206	0.24841626057594443	0.06865451494565059	0.08280728697371913	0.0	0.23018242327710184	0.3108006203266316	0.03989193358718569	0.20351233470104887	0.09942434238800578	0.07250110701626628	0.22231580114188254	0.22098970548928212	0.13551488292812808	0.07609694319802449	0.0	0.0	0.2278842859226441	0.11624286080848616	0.2178125241935614	0.0	0.0	0.034947885462252734	0.0	0.04547419600255776	0.010512692664920923	0.0	0.30201273079888574	0.0	1.0	0.14361589981899087	0.04725575014115305	0.24086184826845644	0.030069771125145913	0.0	0.0	0.00904280363060749	Enriched
msp_0006	Blastocystis sp. subtype 4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09089966912610381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03676091958401318	0.06936389322863919	0.036781129865637086	0.0	0.0	0.055640379339326265	0.0	Enriched
msp_0007	Bacteroides ovatus	0.0	0.22656708347712895	0.20385887657505022	0.0	0.2933177453698071	0.0	0.0	0.0	0.0	0.0	0.03686856834776544	0.0	0.0	0.10048718569655447	0.0	0.0	0.0	0.06841178679963542	0.03011969259068308	0.014794936981620493	0.0	0.0007587624956969129	0.12357922229001857	0.07600081945998807	0.0	0.0	0.017615100403533247	0.0	0.05571447029545634	0.023089749740184583	0.09768087708897186	0.1269663094487206	0.0	0.04965516538532597	0.0	0.0	0.027504462081817643	0.0	0.0	0.0	Enriched
msp_0008	Bacteroides intestinalis	0.0	0.0	0.0	0.0	0.11048304153594975	0.0	0.0	0.01846256750626064	0.0	0.0	0.0	0.0	0.0	0.004460344408334766	0.13011603016315634	0.0	0.0	0.0	0.023153298229437423	0.0	0.058779632111457	0.012623545610229705	0.06590284933204407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08604702420722894	0.028863525788982942	0.017392156692200057	0.2471072647291677	0.0	0.0646896366542311	0.0	0.04052443082007735	0.0	0.0	Enriched
msp_0009	Clostridium bolteae	0.1530222473186729	0.6670137985134991	0.12912209986101014	0.04435953660003103	0.08902837355058799	0.1527268656521874	0.14792185014373008	0.07552094074346563	0.3039389499665895	0.05661122001040496	0.003857992974946698	0.30306732255997315	0.4740554619242512	0.30853667736307516	0.2998593370498251	1.0	0.09108101274160892	0.10115013569560775	0.0	0.35345194830914595	0.0	0.20212445925429728	0.0	0.25952923880412754	0.0	0.0	0.0	0.0	0.058601722766374265	0.3746019058526326	0.06355585312193175	0.0	0.2606861648753267	0.2811888735339379	0.07030480816888296	0.0	0.02162568726377654	0.0024452529792820697	0.10019321168703503	0.0	Enriched
msp_0010	Bacteroides fragilis 1	0.02669407804208102	0.0	0.4991647768897191	0.0	0.23374067491888068	0.08026060408476263	0.10161893342430679	0.22940006365162208	0.23118988301492252	0.2192029137447305	0.04715539791054932	0.205663793439865	0.021525285227225643	0.0002469298533387715	0.0	0.12493140667747166	0.0	0.08853802433348634	0.0	0.1277939125939482	0.0	0.08690922056750285	0.08135203724553226	0.0	0.049405413039163	0.0	0.0	0.006022548693299623	0.221375700647419	0.12070340037293233	0.1678435779004954	0.14365866981942196	0.0	0.12794421206314033	0.0	0.17780575091556436	0.03305397375530717	0.04259977706852715	0.09321395351027922	0.0	Enriched
msp_0011	Bacteroides thetaiotaomicron	0.04904147712672133	0.49292491529901356	0.1189176780021126	0.04567892997598171	0.0701153819931518	0.0	0.18304279185692615	0.03982000472303095	0.1033549289957051	0.11504248439241074	0.06354670887442739	0.0	0.1654337987826628	0.1896364460392894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11713692625281548	0.0	0.0	0.0	0.0	0.0	0.0	0.14397204940618052	0.048574227289453244	0.0	0.24605609130116393	0.0	0.00293344397557284	0.0	0.05684146563750058	0.0	0.0	0.2151822535521536	0.0	Enriched
msp_0012	Parabacteroides distasonis	0.0576282262745437	0.22656708347712895	0.0	0.0	0.2575920601581181	0.01532516277845673	0.08064127235226011	0.0	0.07657844149862357	0.020543108147494524	0.06396346958490513	0.10608188048885735	0.33709611791738536	0.36489076876993515	0.0	0.0	0.0	0.06814507144639809	0.0389386941049593	0.0	0.029588577252556102	0.21540957563800905	0.1715178339034713	0.0	0.052569558910191536	0.0	0.0	0.10727609025867865	0.04423597260096473	0.0	0.14276435882234345	0.11744305861712513	0.0	0.0	0.13218830416865562	0.0	0.11226327059316316	0.0	0.06956081593112588	0.0	Enriched
msp_0013	Ruminococcus bicirculans	0.0	0.0	0.0	0.0	0.019322527981999855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02867969262356891	0.0	0.0	0.0	0.04830228558489547	0.024948470006643346	0.0	0.09231187059538704	0.0	0.0	0.012614102885572544	0.0	0.08169772626217876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01506452457309362	0.0	0.0	0.0	0.025190174074582655	0.0	Enriched
msp_0014	Eisenbergiella tayi	0.0	0.0	0.0	0.0	0.23134215193522795	0.15163720521862617	0.14363466180197534	0.21851698061470604	0.2948585556613502	0.14027065849895187	0.07757208241138465	0.2631425938403955	0.2893946122384488	0.2151095029556127	0.2842810413970127	0.17927333042578952	0.05961912313823987	0.05070458066854898	0.0	0.09535429388526988	0.0	0.12327390595027117	0.0	0.04388456403083824	0.0	0.14654567751403472	0.0	0.0	0.0	0.01585657374380789	0.0	0.0	0.07388250739822531	0.19198468976277924	0.20719083639283936	0.039216029732144955	0.03768744462553709	0.11961067105901008	0.036855256858251265	0.04958312846743077	Enriched
msp_0015	Roseburia faecis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030241576789981583	0.0	0.0	0.0	0.0	0.1648891936173691	0.07528528943507294	0.027713809652583438	0.0018008275601366865	0.0	0.0	0.0	0.0	0.0	0.01936375043467359	0.0	0.0	0.0	0.0	0.05593817581840358	0.2248220573607038	0.0	0.007834020970059231	0.0	0.0	0.01247109529949739	0.0	0.0	0.044183981788584334	Enriched
msp_0016	Bacteroides plebeius	0.0	0.0	0.0	0.0	0.20676460543341338	0.0	0.019613154084433832	0.0	0.06257446217814384	0.0	0.17739026278403383	0.024190806863515994	0.0	0.0	0.12930838747264545	0.0	0.0	0.00410014885100511	0.005511166549927769	0.0	0.0	0.0	0.0	0.029921703143029697	0.1265393701301408	0.0	0.21294095127358875	0.15327212700545556	0.1031367825985273	0.0	0.0	0.325179734839057	0.012274599604497062	0.09032408569359458	0.0	0.0	0.0	0.06856975301733996	0.07799997239197565	0.1634681208906408	Enriched
msp_0017	Roseburia intestinalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08963112553220248	0.010381930073673246	0.0	0.02190120474776558	0.0	0.0	0.10338787217787343	0.0	0.0	0.0	0.0	0.09777166748120573	0.0	0.0	0.12014065863430257	0.02061731949930578	0.0	0.0	0.0	0.0626938670602719	0.21825805097764306	0.014137126208872012	0.0	0.0	0.0	0.006798328922293215	0.0	0.0	0.0	Enriched
msp_0018	Clostridium sp. KLE 1755 & Clostridiales bacterium VE202-27	0.004630425225694952	0.0	0.0	0.0	0.1607237156674382	0.18741175423800757	0.051798965890679255	0.12283557655284966	0.18020470548744966	0.0017898025887108484	0.0	0.26409214737590525	0.1983986505189964	0.23769097226670277	0.25537030756565454	0.260972265700242	0.11998276363874881	0.07170140826125736	0.031114643207303786	0.17453968926175079	0.01780662750033111	0.09574180800861785	0.0	0.05545645224908358	0.0	0.05855391260394285	0.0	0.0	0.0	0.0	0.0	0.0	0.04182605698384894	0.27915349667142547	0.0	0.07014070949714203	0.0	0.1226276703695095	0.12867254037161108	0.03891649904645413	Enriched
